loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
lambda_rbp_95,0.1,0,0,0,1.0,32,0.6198,0.8282,0.8087,0.6441,0.5652,0.4669,0.3404
lambda_dcg,0.1,0,0,0,1.0,32,0.6007,0.8202,0.7929999999999999,0.6337,0.5542,0.4617,0.3386
lambda_rr,0.1,0,0,0,1.0,32,0.5084,0.7816,0.7102,0.5754,0.4865,0.4209,0.3181
lambda_dcg,0.1,0,0,0,2.0,32,0.4721,0.7391,0.6965,0.4904,0.4326,0.3716,0.2868
lambda_dcg,0.1,0,0,0,5.0,32,0.3188,0.6219,0.5503,0.3161,0.2876,0.2488,0.2036
lambda_rr,0.1,0,0,0,5.0,32,0.1752,0.5447,0.3767,0.2253,0.1726,0.1687,0.1551
lambda_rr,0.01,0,0,0,5.0,32,0.237,0.5727,0.4799,0.2489,0.2131,0.1907,0.1659
lambda_rr,0.01,0,0,0,1.0,32,0.53,0.7901,0.7449,0.5832,0.5003,0.4277,0.321
lambda_dcg,0.01,0,0,0,1.0,32,0.8598,0.9351,0.955,0.8393,0.7421,0.5724,0.3913
lambda_dcg,0.001,0,0,0,1.0,32,0.8739,0.9417,0.9627,0.8531,0.7528,0.5786,0.3942
lambda_ap,0.001,0,0,0,1.0,32,0.8532,0.9318,0.9486,0.8340000000000001,0.7379,0.5694,0.3897
lambda_ap,0.01,0,0,0,1.0,32,0.8499,0.9302,0.9488,0.8292,0.7341,0.5674,0.3889
lambda_rr,0.001,0,0,0,1.0,32,0.5255,0.7891,0.7399,0.5824,0.4984,0.4263,0.3201
lambda_ap,0.1,0,0,0,1.0,32,0.5987,0.8186,0.7866,0.6308,0.5504,0.4584,0.3365
lambda_rbp_90,0.001,0,0,0,2.0,32,0.8575,0.9257,0.9611,0.8088,0.7282,0.556,0.3794
lambda_rbp_95,0.001,0,0,0,2.0,32,0.8816,0.9393,0.9677,0.8412,0.7499,0.5716,0.3884
lambda_rbp_90,0.01,0,0,0,2.0,32,0.8268,0.9131,0.9391,0.7867,0.7078,0.5447,0.3745
lambda_rbp_95,0.01,0,0,0,2.0,32,0.8504,0.924,0.9515,0.8094,0.7249,0.5557,0.3803
lambda_rbp_90,0.1,0,0,0,2.0,32,0.4655,0.7369,0.698,0.4837,0.4238,0.3626,0.2803
lambda_rbp_95,0.1,0,0,0,2.0,32,0.4884,0.7475,0.7166,0.4997,0.4432,0.3759,0.2875
lambda_ap,0.001,0,0,0,2.0,32,0.8372,0.9198,0.9481,0.8029,0.7175,0.5524,0.3794
lambda_ap,0.1,0,0,0,2.0,32,0.4646,0.7364,0.6976,0.4842,0.4245,0.3652,0.2828
lambda_ap,0.01,0,0,0,2.0,32,0.8212,0.9109999999999999,0.9358,0.7843,0.7044,0.5433,0.3741
lambda_rr,0.001,0,0,0,2.0,32,0.3831,0.6968,0.6352,0.4245,0.3607,0.3222,0.2589
lambda_rr,0.01,0,0,0,2.0,32,0.3706,0.6921,0.6162,0.4209,0.354,0.3194,0.2578
lambda_rr,0.1,0,0,0,2.0,32,0.3497,0.6823,0.5819,0.4111,0.3394,0.311,0.2538
lambda_ap,0.1,0,0,0,5.0,32,0.2954,0.6084,0.5275,0.2985,0.2672,0.2337,0.1938
lambda_ap,0.001,0,0,0,5.0,32,0.7881,0.8862,0.9223,0.7307,0.6703,0.5147,0.3561
lambda_ap,0.01,0,0,0,5.0,32,0.7509,0.8658,0.9036,0.691,0.6392,0.4936,0.3444
lambda_rr,0.001,0,0,0,5.0,32,0.2708,0.5898,0.5194,0.2663,0.2386,0.20600000000000002,0.1733
lambda_rbp_90,0.001,0,0,0,1.0,32,0.9085,0.9564,0.9787,0.8826,0.7775,0.5927,0.4003
lambda_rbp_95,0.001,0,0,0,1.0,32,0.924,0.9643,0.9826,0.9023,0.7909,0.6016,0.4051
lambda_rbp_80,0.1,0,0,0,5.0,32,0.2559,0.5886,0.4848,0.27399999999999997,0.2355,0.2113,0.1803
lambda_dcg,0.001,0,0,0,2.0,32,0.8517,0.9276,0.9520000000000001,0.8205,0.7305,0.5617,0.3844
lambda_dcg,0.01,0,0,0,2.0,32,0.8307,0.9158,0.9407,0.7946,0.7128,0.5493,0.3776
lambda_dcg,0.001,0,0,0,5.0,32,0.8049,0.8977,0.9352,0.752,0.6853,0.5254,0.36200000000000004
lambda_dcg,0.01,0,0,0,5.0,32,0.7731,0.8794,0.9193,0.7156,0.657,0.5053,0.3507
lambda_rbp_80,0.001,0,0,0,1.0,32,0.8747,0.9393,0.9681,0.841,0.7486,0.5719,0.3885
lambda_rbp_80,0.01,0,0,0,1.0,32,0.8681,0.9374,0.9561,0.8418,0.7483,0.5739,0.3903
lambda_rbp_90,0.01,0,0,0,1.0,32,0.8898,0.9495,0.9671,0.8699,0.7658,0.5865,0.3978
lambda_rbp_95,0.01,0,0,0,1.0,32,0.9067,0.9563,0.9755,0.8844,0.7761,0.5926,0.4009
lambda_rbp_80,0.1,0,0,0,1.0,32,0.5886,0.8148,0.7829,0.6226,0.5415,0.4516,0.3324
lambda_rbp_90,0.1,0,0,0,1.0,32,0.6058,0.8217,0.7951,0.6339,0.5546,0.4596,0.3365
lambda_rbp_80,0.001,0,0,0,2.0,32,0.8137,0.9008,0.9398,0.7536,0.6897,0.5271,0.3622
lambda_rbp_80,0.01,0,0,0,2.0,32,0.7977,0.8952,0.9223,0.7486,0.6823,0.5262,0.3633
lambda_rbp_80,0.1,0,0,0,2.0,32,0.4247,0.7204,0.6598,0.4629,0.3973,0.3481,0.2735
lambda_rbp_80,0.001,0,0,0,5.0,32,0.6940000000000001,0.8182,0.8767,0.591,0.5753,0.4353,0.3035
lambda_rbp_90,0.001,0,0,0,5.0,32,0.7593,0.8622,0.9109,0.6762,0.6381,0.4856,0.3355
lambda_rbp_95,0.001,0,0,0,5.0,32,0.7884,0.8829,0.9245,0.7193,0.667,0.5088,0.3504
lambda_rbp_90,0.01,0,0,0,5.0,32,0.7203,0.8444,0.8804,0.6492,0.6108,0.4711,0.3293
lambda_rbp_80,0.01,0,0,0,5.0,32,0.6679999999999999,0.8115,0.8415,0.5897,0.5670000000000001,0.438,0.3086
lambda_rbp_95,0.01,0,0,0,5.0,32,0.748,0.8618,0.8987,0.6817,0.6354,0.4883,0.3396
lambda_rbp_90,0.1,0,0,0,5.0,32,0.2751,0.5993,0.5035,0.2865,0.2518,0.2224,0.1862
lambda_rbp_95,0.1,0,0,0,5.0,32,0.3055,0.6143,0.5343,0.3046,0.2745,0.2374,0.1949
lambda_ap,0.1,0,0,1,1.0,32,0.5931,0.8157,0.7791,0.6273,0.5492,0.4594,0.3372
lambda_dcg,0.01,0,0,1,1.0,32,0.8565,0.9342,0.9532,0.838,0.7408,0.5722,0.3914
lambda_dcg,0.1,0,0,1,1.0,32,0.6003,0.8187,0.7833,0.6329,0.5549,0.4633,0.3396
lambda_ap,0.001,0,0,1,1.0,32,0.8553,0.9337,0.9517,0.836,0.7395,0.5704,0.3902
lambda_ap,0.01,0,0,1,1.0,32,0.8428,0.9288,0.9467,0.8273,0.7316,0.5668,0.3889
lambda_rr,0.01,0,0,1,1.0,32,0.5261,0.7871,0.7338,0.5803,0.4967,0.4258,0.3201
lambda_rr,0.001,0,0,1,1.0,32,0.5168,0.7839,0.7269,0.5766,0.4928,0.4247,0.3201
lambda_rr,0.1,0,0,1,1.0,32,0.5008,0.7796,0.7066,0.5729,0.4834,0.4201,0.3181
lambda_dcg,0.001,0,0,1,2.0,32,0.8493,0.9264,0.9502,0.8181,0.7296,0.5612,0.3843
lambda_dcg,0.001,0,0,1,1.0,32,0.8737,0.9418,0.9590000000000001,0.8542,0.7539,0.5797,0.3948
lambda_dcg,0.01,0,0,1,2.0,32,0.8293,0.9155,0.9439,0.7928,0.7102,0.5476,0.377
lambda_dcg,0.1,0,0,1,2.0,32,0.4612,0.7337,0.6828,0.484,0.4262,0.3687,0.2857
lambda_ap,0.001,0,0,1,2.0,32,0.83,0.9157,0.9405,0.7957,0.7132,0.5504,0.3788
lambda_ap,0.01,0,0,1,2.0,32,0.8123,0.9075,0.9279999999999999,0.7789,0.6989,0.5408,0.3734
lambda_ap,0.1,0,0,1,2.0,32,0.4513,0.7313,0.682,0.4791,0.4177,0.36200000000000004,0.2815
lambda_rr,0.01,0,0,1,2.0,32,0.3702,0.6925,0.618,0.4206,0.3526,0.3179,0.2569
lambda_rr,0.001,0,0,1,2.0,32,0.3925,0.7014,0.6452,0.4304,0.3674,0.3257,0.2604
lambda_rr,0.1,0,0,1,2.0,32,0.3383,0.6775,0.5613,0.40700000000000003,0.3333,0.3089,0.2532
lambda_dcg,0.001,0,0,1,5.0,32,0.8021,0.8954,0.9309,0.7489,0.6825,0.5239,0.3615
lambda_dcg,0.01,0,0,1,5.0,32,0.7722,0.879,0.917,0.715,0.6579,0.5064,0.3512
lambda_dcg,0.1,0,0,1,5.0,32,0.3105,0.6179,0.5354,0.3133,0.2828,0.2478,0.204
lambda_ap,0.001,0,0,1,5.0,32,0.7867,0.8857,0.9177,0.7308,0.6704,0.515,0.3561
lambda_ap,0.01,0,0,1,5.0,32,0.7498,0.8647,0.8952,0.6899,0.6387,0.4929,0.3436
lambda_rr,0.001,0,0,1,5.0,32,0.2783,0.5932,0.5237,0.2701,0.2433,0.2091,0.175
lambda_ap,0.1,0,0,1,5.0,32,0.2928,0.6084,0.5208,0.2995,0.2659,0.2337,0.1941
lambda_rr,0.01,0,0,1,5.0,32,0.242,0.5745,0.478,0.2514,0.2178,0.1936,0.1672
lambda_rbp_80,0.001,0,0,1,1.0,32,0.8681,0.9359,0.959,0.8368,0.7453,0.5709,0.3883
lambda_rbp_90,0.001,0,0,1,1.0,32,0.9072,0.9553,0.9761,0.8809999999999999,0.7766,0.5925,0.4003
lambda_rr,0.1,0,0,1,5.0,32,0.1673,0.5411,0.3659,0.222,0.1683,0.1662,0.1536
lambda_rbp_95,0.001,0,0,1,1.0,32,0.9221,0.9634,0.9812,0.9011,0.7895,0.6014,0.4053
lambda_rbp_80,0.01,0,0,1,1.0,32,0.8612,0.9338,0.9556,0.8346,0.7419,0.5702,0.3886
lambda_rbp_90,0.01,0,0,1,1.0,32,0.8892,0.9482,0.9636,0.8685,0.7648,0.5861,0.3977
lambda_rbp_95,0.01,0,0,1,1.0,32,0.9074,0.956,0.9732,0.8854,0.7777,0.594,0.4017
lambda_rbp_80,0.1,0,0,1,1.0,32,0.5796,0.8109999999999999,0.7761,0.6175,0.5375,0.4507,0.3325
lambda_rbp_90,0.1,0,0,1,1.0,32,0.6011,0.8199,0.7916,0.6313,0.5531,0.4597,0.3368
lambda_rbp_95,0.1,0,0,1,1.0,32,0.6161,0.8272,0.8039,0.643,0.5652,0.4676,0.341
lambda_rbp_80,0.001,0,0,1,2.0,32,0.804,0.8962,0.9284,0.7476,0.6848,0.5255,0.3618
lambda_rbp_90,0.001,0,0,1,2.0,32,0.8503,0.9223,0.9521,0.8044,0.7246,0.5549,0.3792
lambda_rbp_95,0.001,0,0,1,2.0,32,0.8728,0.9351,0.9604,0.8342,0.745,0.5695,0.3875
lambda_rbp_80,0.01,0,0,1,2.0,32,0.7865,0.8896,0.9172,0.7386,0.6746,0.5214,0.3607
lambda_rbp_90,0.01,0,0,1,2.0,32,0.8284,0.9126,0.9372,0.7869,0.7089,0.5456,0.3748
lambda_rbp_95,0.01,0,0,1,2.0,32,0.8522,0.9256,0.9528,0.8140000000000001,0.7285,0.5587,0.3819
lambda_rbp_80,0.1,0,0,1,2.0,32,0.4279,0.7204,0.6644,0.4621,0.39799999999999996,0.3476,0.2729
lambda_rbp_95,0.1,0,0,1,2.0,32,0.479,0.7436,0.7089,0.494,0.4367,0.3718,0.2855
lambda_rbp_90,0.1,0,0,1,2.0,32,0.45299999999999996,0.7321,0.6844,0.4781,0.4178,0.3602,0.2794
lambda_rbp_80,0.001,0,0,1,5.0,32,0.6875,0.816,0.8735,0.5872,0.5712,0.4333,0.3027
lambda_rbp_90,0.001,0,0,1,5.0,32,0.7565,0.8603,0.909,0.6737,0.6367,0.4854,0.3357
lambda_rbp_95,0.001,0,0,1,5.0,32,0.7896,0.8824,0.9219,0.7201,0.6679,0.5102,0.3515
lambda_rbp_80,0.01,0,0,1,5.0,32,0.6559,0.8052,0.8436,0.5760000000000001,0.5553,0.4291,0.3032
lambda_rbp_90,0.01,0,0,1,5.0,32,0.7148,0.8432,0.8754,0.6481,0.6084,0.4705,0.3296
lambda_rbp_95,0.01,0,0,1,5.0,32,0.7518,0.8638,0.9016,0.6861,0.639,0.4912,0.3414
lambda_rbp_80,0.1,0,0,1,5.0,32,0.2425,0.5825,0.4647,0.2679,0.2254,0.2053,0.1774
lambda_rbp_90,0.1,0,0,1,5.0,32,0.2777,0.6006,0.5127,0.2875,0.251,0.2212,0.1858
lambda_rbp_95,0.1,0,0,1,5.0,32,0.3032,0.6144,0.5401,0.3045,0.2735,0.2372,0.1949
lambda_dcg,0.01,0,0,2,1.0,32,0.8531,0.9339,0.9501,0.8388,0.7401,0.5721,0.3914
lambda_dcg,0.001,0,0,2,1.0,32,0.8771,0.9431,0.9588,0.8574,0.7556,0.5802,0.395
lambda_ap,0.001,0,0,2,1.0,32,0.8555,0.9331,0.9509,0.8364,0.7390000000000001,0.5702,0.3901
lambda_ap,0.01,0,0,2,1.0,32,0.8421,0.9279,0.9414,0.8272,0.7318,0.5670000000000001,0.389
lambda_dcg,0.1,0,0,2,1.0,32,0.603,0.8220000000000001,0.7963,0.6354,0.5549,0.4619,0.3387
lambda_ap,0.1,0,0,2,1.0,32,0.598,0.8195,0.7881,0.6316,0.5504,0.4583,0.3364
lambda_rr,0.001,0,0,2,1.0,32,0.525,0.7893,0.7440000000000001,0.5818,0.4973,0.4268,0.3211
lambda_rr,0.01,0,0,2,1.0,32,0.5236,0.7876,0.7417,0.5796,0.4955,0.4253,0.3201
lambda_rr,0.1,0,0,2,1.0,32,0.5032,0.7786,0.7077,0.5714,0.4847,0.4214,0.319
lambda_dcg,0.001,0,0,2,2.0,32,0.8575,0.9292,0.9558,0.8221,0.7340000000000001,0.5631,0.3847
lambda_dcg,0.1,0,0,2,2.0,32,0.47100000000000003,0.7391,0.6962,0.4899,0.4321,0.3712,0.2864
lambda_dcg,0.01,0,0,2,2.0,32,0.8284,0.9152,0.9434,0.7924,0.7114,0.5482,0.377
lambda_ap,0.001,0,0,2,2.0,32,0.8436,0.9217,0.9486,0.8053,0.7218,0.5544,0.38
lambda_ap,0.01,0,0,2,2.0,32,0.8134,0.9079,0.9297,0.7796,0.6998,0.5414,0.3736
lambda_ap,0.1,0,0,2,2.0,32,0.452,0.7314,0.6785,0.479,0.4188,0.3623,0.2811
lambda_rr,0.001,0,0,2,2.0,32,0.3806,0.6945,0.6239,0.4228,0.3598,0.3219,0.2586
lambda_rr,0.01,0,0,2,2.0,32,0.3692,0.6912,0.6187,0.4192,0.3522,0.3176,0.2566
lambda_rr,0.1,0,0,2,2.0,32,0.3378,0.6779,0.5661,0.4068,0.3334,0.309,0.2532
lambda_dcg,0.001,0,0,2,5.0,32,0.8082,0.8983,0.9361,0.7522,0.6868,0.5261,0.3622
lambda_dcg,0.01,0,0,2,5.0,32,0.7761,0.8794,0.9188,0.7154,0.6602,0.5074,0.3515
lambda_dcg,0.1,0,0,2,5.0,32,0.3138,0.619,0.5426,0.3129,0.2847,0.2481,0.2036
lambda_ap,0.001,0,0,2,5.0,32,0.7935,0.889,0.9243,0.7352,0.6742,0.5173,0.3574
lambda_ap,0.01,0,0,2,5.0,32,0.7524,0.8666,0.8983,0.6927,0.6406,0.4939,0.344
lambda_ap,0.1,0,0,2,5.0,32,0.2952,0.6096,0.5329999999999999,0.2987,0.2672,0.2336,0.1938
lambda_rr,0.001,0,0,2,5.0,32,0.2598,0.5853,0.4989,0.2629,0.2324,0.2031,0.1721
lambda_rr,0.01,0,0,2,5.0,32,0.2264,0.5675,0.4606,0.2444,0.2066,0.1869,0.1638
lambda_rr,0.1,0,0,2,5.0,32,0.1733,0.5435,0.3732,0.2241,0.1715,0.1679,0.1546
lambda_rbp_80,0.001,0,0,2,1.0,32,0.8661,0.9338,0.9653,0.8264,0.7386,0.5639,0.384
lambda_rbp_90,0.001,0,0,2,1.0,32,0.908,0.9552,0.9759,0.8802,0.7768,0.5916,0.3994
lambda_rbp_95,0.001,0,0,2,1.0,32,0.9279,0.9659,0.9821,0.9065,0.7933,0.6032,0.4059
lambda_rbp_80,0.01,0,0,2,1.0,32,0.8697,0.9372,0.9608,0.8389,0.7455,0.5707,0.3881
lambda_rbp_90,0.01,0,0,2,1.0,32,0.8988,0.9514,0.9673,0.8741,0.7704,0.5886,0.3984
lambda_rbp_95,0.01,0,0,2,1.0,32,0.9043,0.9561,0.9735,0.8845,0.777,0.5937,0.4015
lambda_rbp_80,0.1,0,0,2,1.0,32,0.5798,0.8118,0.7759999999999999,0.6196,0.5374,0.4507,0.3325
lambda_rbp_90,0.1,0,0,2,1.0,32,0.6032,0.8219,0.797,0.6341,0.5533,0.4592,0.3364
lambda_rbp_95,0.1,0,0,2,1.0,32,0.6199,0.8292,0.8079999999999999,0.6462,0.5662,0.4673,0.3404
lambda_rbp_80,0.001,0,0,2,2.0,32,0.8009999999999999,0.8938,0.9412,0.7355,0.677,0.5166,0.3558
lambda_rbp_90,0.001,0,0,2,2.0,32,0.8576,0.925,0.9569,0.8079999999999999,0.7291,0.5564,0.3792
lambda_rbp_95,0.001,0,0,2,2.0,32,0.8795,0.9396,0.9670000000000001,0.8426,0.7505,0.5726,0.3889
lambda_rbp_90,0.01,0,0,2,2.0,32,0.835,0.9161,0.9424,0.7926,0.7143,0.5484,0.3758
lambda_rbp_80,0.01,0,0,2,2.0,32,0.7987,0.8954,0.926,0.7474,0.6816,0.5241,0.3612
lambda_rbp_95,0.01,0,0,2,2.0,32,0.8522,0.9252,0.953,0.8119,0.7281,0.5582,0.3816
lambda_rbp_80,0.1,0,0,2,2.0,32,0.4161,0.7163,0.6432,0.45799999999999996,0.3929,0.3456,0.2721
lambda_rbp_90,0.1,0,0,2,2.0,32,0.4515,0.7304,0.6769,0.4761,0.41600000000000004,0.3592,0.2787
lambda_rbp_95,0.1,0,0,2,2.0,32,0.4796,0.7447,0.7115,0.4959,0.4382,0.3733,0.2864
lambda_rbp_80,0.001,0,0,2,5.0,32,0.6522,0.7873,0.8558,0.5329,0.5329,0.4,0.2807
lambda_rbp_90,0.001,0,0,2,5.0,32,0.7511,0.852,0.9058,0.6532,0.6269,0.4735,0.3255
lambda_rbp_95,0.001,0,0,2,5.0,32,0.7931,0.8829,0.9254,0.7178,0.6696,0.5089,0.3486
lambda_rbp_80,0.01,0,0,2,5.0,32,0.6462,0.7979,0.8397,0.5601,0.5429,0.4168,0.2946
lambda_rbp_80,0.1,0,0,2,5.0,32,0.2446,0.5841,0.4691,0.2693,0.2279,0.2074,0.1785
lambda_rbp_95,0.01,0,0,2,5.0,32,0.7511,0.8627,0.8962,0.6843,0.6379,0.4904,0.3408
lambda_rbp_90,0.01,0,0,2,5.0,32,0.7172,0.8428,0.8781,0.6446,0.6088,0.4681,0.3262
lambda_rbp_90,0.1,0,0,2,5.0,32,0.2784,0.6005,0.5136,0.2861,0.2503,0.2203,0.1852
lambda_rbp_95,0.1,0,0,2,5.0,32,0.3059,0.6154,0.5489999999999999,0.3043,0.2736,0.2361,0.1944
